docking_state,distance,energy
2538,2.417529,10.3077
2793,2.512621,-26.7936
1380,2.517746,-24.5766
3009,2.527137,-24.8751
2863,2.53799,-18.9613
2917,2.543531,-22.8028
1465,2.546432,-29.4833
425,2.556298,-21.8993
2925,2.571665,-27.0786
1935,2.592145,-28.8423
2385,2.592484,-35.142
1149,2.595704,-8.60949
2871,2.613757,-37.1069
1905,2.618965,-34.4245
2922,2.639485,-12.2243
283,2.645214,-41.4003
93,2.645308,-67.9937
0,2.655221,-77.5362
1613,2.655468,-22.8599
381,2.656406,-42.6487
3216,2.664097,-6.9943
633,2.674911,-42.1538
463,2.694381,-36.0065
523,2.694483,-40.9868
405,2.695453,-41.4792
2208,2.712766,-16.2705
1144,2.723136,-34.126
2092,2.752576,-27.2484
77,2.764177,-71.2336
1770,2.879102,-23.3626
2174,2.90616,-36.1165
2274,3.113185,-38.9644
951,3.176386,-47.5541
450,3.221242,-47.6065
2309,3.25115,-17.5047
219,3.310934,-33.1887
634,3.344976,-55.8452
2983,3.346067,-31.4291
1567,3.347231,-34.2403
1624,3.350057,-48.1043
16,3.358227,-67.9841
1174,3.359823,-22.2243
2138,3.384538,-33.5936
42,3.387065,-41.4623
2868,3.39861,-7.6176
2617,3.402052,-11.6943
806,3.40215,-49.1504
242,3.422143,-49.8272
2653,3.430432,-19.6745
564,3.444152,-49.5272
771,3.447379,-37.0154
1054,3.451216,-32.9882
1618,3.480734,-18.244
115,3.480954,-58.7321
1517,3.481176,-20.1338
512,3.498049,-36.2727
2479,3.515363,-22.8438
2817,3.533979,-34.8654
2278,3.5431,-14.8972
432,3.572004,-52.9618
784,3.574652,-38.1761
261,3.575582,-27.3616
2515,3.578069,-19.0397
1967,3.585242,-23.1532
250,3.605615,-41.0094
749,3.616939,-64.3835
846,3.6181,-36.4348
458,3.622485,-38.3881
2688,3.634095,-28.5348
1048,3.636622,-30.5431
2671,3.658425,-7.50701
2201,3.660643,-32.613
268,3.66429,-50.3767
1531,3.665464,-37.4517
678,3.669705,-25.6565
145,3.686932,-65.015
861,3.705646,-34.4276
783,3.723292,-45.025
1642,3.731611,-43.7839
1203,3.773467,-21.5133
1533,3.775746,-19.1721
1136,3.778033,-29.7401
2659,3.799088,-27.1284
2347,3.810993,-30.2317
2866,3.827315,-18.6037
1369,3.840714,-45.3217
2527,3.854748,-26.5802
1721,3.868817,-37.6696
476,3.88405,-66.6445
1314,3.885955,-18.6188
201,3.88892,-59.5061
3004,3.894372,-8.89953
761,3.898052,-47.9718
1112,3.912591,-27.356
2921,3.922928,-11.1467
403,3.925368,-61.7849
241,3.937351,-51.4745
199,3.937762,-48.2978
170,3.949938,-75.3327
32,3.952864,-70.0585
3252,3.958272,-18.7725
385,3.960867,-46.2964
247,3.977835,-48.4102
2640,3.985514,-17.2766
2462,3.990003,-25.8642
1234,3.992512,-41.6887
457,3.999046,-43.9148
1711,4.005194,-19.2363
175,4.014201,-45.9739
3063,4.016495,-5.33656
537,4.030796,-50.9469
719,4.031923,-58.0002
147,4.065752,-41.7385
2028,4.066201,-17.0002
125,4.07199,-52.9214
3222,4.085805,-18.2133
2,4.112296,-65.2615
1378,4.117392,-25.8217
1177,4.128166,-29.4579
2736,4.133383,-15.8584
531,4.161247,-67.4153
443,4.174418,-33.2896
2780,4.178041,-5.89628
592,4.193866,-45.0474
899,4.220389,-50.2038
312,4.228135,-59.0436
1127,4.237469,-29.4657
766,4.242289,-62.5975
1835,4.24511,-38.0077
1007,4.25475,-28.1594
1133,4.279744,-13.8964
638,4.27992,-63.6774
22,4.3135,-47.6291
1821,4.338551,-27.5594
1240,4.375741,-29.0984
179,4.390383,-69.0902
470,4.425909,-33.6623
226,4.467479,-36.0959
2552,4.475536,-36.4231
310,4.491117,-46.6302
2763,4.502777,-13.7671
798,4.507772,-51.4666
835,4.508784,-33.2159
3429,4.509996,-21.0075
1730,4.518211,-44.2255
1011,4.518396,-43.3995
1040,4.52945,-46.1976
3054,4.541096,-21.6457
1108,4.554732,-56.8394
3181,4.564229,-6.90282
3193,4.568062,-2.16517
486,4.580487,-44.7502
2532,4.583923,-18.7066
468,4.586466,-58.1414
1619,4.588268,-21.8252
3335,4.593885,2.96175
1117,4.602538,-51.1944
3183,4.605324,-6.24759
1887,4.61411,-38.9729
1095,4.62025,-58.8764
640,4.623352,-59.5796
1662,4.650051,-39.894
3191,4.67068,-3.41773
1520,4.670862,-30.2858
221,4.673997,-56.2828
1997,4.675924,-19.8413
216,4.680949,-66.3168
2778,4.682975,-31.7178
3378,4.684567,-9.7828
896,4.685212,-27.7659
2963,4.687888,-19.5834
2490,4.701196,-15.3903
3409,4.70322,-24.9765
1045,4.704415,-30.1767
2137,4.704939,-21.3838
916,4.718464,-32.5704
488,4.720438,-39.322
1103,4.721753,-42.5081
2063,4.73968,-24.2301
1132,4.741039,-37.7764
2913,4.742417,-21.4887
605,4.75537,-62.9795
2383,4.768378,-29.658
686,4.78452,-47.3965
239,4.789731,-61.437
251,4.795944,-46.3588
814,4.801205,-31.4763
1800,4.808412,-36.4472
604,4.809057,-51.2878
521,4.819343,-47.8062
1064,4.819457,-24.4897
755,4.825007,-27.7905
415,4.829193,-37.2839
800,4.830113,-32.7016
223,4.831765,-60.1873
2769,4.832307,-17.5761
1005,4.833569,-37.3634
3220,4.844859,-13.4404
3027,4.851248,-9.34371
230,4.872836,-35.1556
129,4.87689,-65.9651
231,4.876913,-55.5332
281,4.880865,-53.8724
2568,4.901579,-25.2636
502,4.916162,-33.0869
2905,4.916357,-27.3553
64,4.928015,-64.7642
1436,4.944006,-24.6425
1900,4.95053,-11.5251
1729,4.951376,-27.6889
860,4.953557,-33.2388
700,4.956574,-20.5061
1151,4.967351,-52.4105
1347,4.977933,-45.81
1605,4.978355,-18.7393
863,4.986179,-40.5774
185,4.990858,-73.3642
1601,4.994197,-21.9688
1946,4.996011,-22.8116
1602,5.00059,-26.3109
530,5.014539,-41.8568
2805,5.01696,-14.3804
1334,5.019683,-42.2281
3,5.021605,-68.921
3160,5.024051,-27.0957
3383,5.031165,-3.17067
1454,5.035732,-40.5276
1898,5.046648,-41.6201
884,5.047018,-25.2179
2563,5.052451,-22.3306
777,5.055193,-41.7651
3214,5.063564,-20.7182
3039,5.071689,-41.704
1566,5.071752,-30.6713
2782,5.094525,-24.7701
773,5.094866,-39.209
319,5.095406,-52.4283
3438,5.09552,-18.5929
1143,5.095869,-31.4188
2891,5.106828,-15.4648
3273,5.134931,4.45601
3358,5.15503,-13.8538
1959,5.158847,-33.5454
2283,5.162068,-37.453
693,5.171463,-53.1151
142,5.173815,-62.6957
1529,5.177239,-29.3737
3381,5.190512,-14.5464
885,5.190877,-52.3729
2038,5.191319,-12.5094
971,5.191381,-34.9157
3367,5.196221,-19.4356
760,5.209672,-33.8185
1073,5.211846,-33.9569
2315,5.217395,-50.0146
1113,5.219143,-19.1958
2948,5.223707,-5.79791
1255,5.226626,-22.0494
3046,5.235896,-41.4304
3437,5.242254,12.8839
1099,5.253216,-39.1865
45,5.257699,-65.3519
2980,5.258961,-6.21349
2263,5.270392,-26.8802
984,5.273908,-39.9698
2747,5.28025,-40.4838
218,5.292791,-64.3027
1828,5.293813,-35.3657
2906,5.296808,-25.2431
782,5.301689,-32.9463
498,5.32055,-40.0812
2673,5.320902,-18.647
2910,5.322128,-13.4461
2859,5.333042,-1.21205
872,5.347924,-42.9811
1141,5.35663,-41.0909
1006,5.361408,-27.579
2233,5.389892,-47.1124
449,5.398505,-59.891
3107,5.401148,-39.9322
2587,5.409126,-19.0602
3149,5.412157,-6.22244
3130,5.422162,-14.4806
651,5.437342,-41.8286
1702,5.43978,-47.0485
736,5.442542,-39.7834
699,5.443799,-27.0461
36,5.445659,-62.182
1119,5.45635,-49.113
1443,5.473906,-35.9192
78,5.477756,-54.3529
1121,5.481817,-20.1305
471,5.498224,-48.5222
3305,5.523432,-10.9884
379,5.540522,-46.6894
538,5.550621,-32.709
1368,5.600981,-37.2298
189,5.611638,-44.5195
1999,5.625517,-18.9871
3016,5.664757,-33.6088
2438,5.692611,-22.162
41,5.693924,-59.8861
2873,5.695996,-17.8488
3245,5.726424,3.69818
1356,5.735515,-18.4034
1284,5.745354,-25.6522
3078,5.763405,-13.9707
1631,5.795117,-32.9921
371,5.80261,-44.6896
936,5.826761,-34.8431
253,5.834551,-61.6619
1146,5.837969,-22.0766
2828,5.838494,-22.2438
622,5.844556,-30.2491
1237,5.858221,-48.2131
3000,5.86299,6.87185
3304,5.873072,-6.0966
2360,5.877729,-28.6418
59,5.878275,-66.6554
1413,5.887074,-42.2805
313,5.887352,-36.5312
3262,5.899868,-28.8154
2732,5.906212,-3.23896
1680,5.916045,-21.7529
1336,5.932259,-20.5984
200,5.934768,-53.0556
2412,5.941545,-21.53
3298,5.943043,-10.9153
3418,5.954534,-21.9854
1228,5.955234,-31.1798
3393,6.009507,-22.266
867,6.014024,-35.2316
724,6.027716,-36.0372
970,6.029277,-20.6247
1142,6.045393,-30.2658
683,6.067975,-16.6195
2945,6.069583,-4.32292
2579,6.072752,-34.8702
360,6.095986,-46.2059
535,6.096235,-57.1649
2834,6.102948,-31.5717
2535,6.115713,-31.019
1269,6.136353,-9.2415
1458,6.144064,-25.6596
2337,6.144927,-25.475
722,6.152885,-39.2053
3023,6.160104,-17.6631
565,6.161096,-27.2815
517,6.175621,-67.8705
645,6.205971,-32.1059
1251,6.210894,-40.7867
682,6.22018,-37.9557
1670,6.254869,-41.6984
1349,6.261811,-5.4586
938,6.272737,-35.4635
3192,6.283058,-17.4182
696,6.293693,-40.142
1516,6.304145,-25.1171
3459,6.31459,7.82547
2112,6.315035,-40.4125
882,6.324347,-41.8207
3464,6.340528,26.7939
90,6.340613,-63.5614
1427,6.343391,-30.9548
1552,6.353298,-37.1056
355,6.35546,-61.5605
259,6.357326,-49.0385
2787,6.362178,-13.0715
1009,6.376704,-35.9676
2155,6.377218,-46.2083
2300,6.393556,-33.5927
2282,6.396755,-22.3943
815,6.406963,-35.3627
924,6.41109,-23.9728
614,6.426095,-31.0232
1096,6.426675,-52.6269
3025,6.429656,-9.56105
2475,6.431945,-21.7108
34,6.441628,-72.3503
2350,6.442761,-31.5589
2185,6.45295,-33.0882
2100,6.457257,-27.3507
21,6.474775,-65.9248
1718,6.476344,-52.4417
76,6.480786,-44.4896
1254,6.484882,-24.1505
1576,6.487626,-30.2885
1414,6.503986,-29.3997
1696,6.507129,-38.3191
164,6.51689,-48.2653
234,6.520048,-55.0374
2869,6.52328,-3.87648
1715,6.52369,-25.7941
3323,6.530598,-24.9142
2764,6.535137,-7.53798
3109,6.553498,-20.4428
1977,6.555828,-22.1211
3035,6.55737,-17.0246
507,6.561534,-46.4628
543,6.565121,-43.4204
972,6.571287,-31.9625
1447,6.574243,-53.9246
2877,6.576441,-11.3757
944,6.578603,-44.469
1157,6.58307,-22.8508
1430,6.58771,-21.0773
963,6.592837,-36.5052
1625,6.598727,-22.1978
294,6.610576,-51.3047
730,6.612523,-32.166
3425,6.615816,-0.498275
528,6.623203,-34.9391
993,6.62546,-34.6834
1769,6.625722,-22.266
1067,6.627502,-26.9072
1324,6.627884,-34.3932
862,6.628034,-25.6608
1345,6.630186,-35.8992
73,6.633236,-51.6339
960,6.635743,-42.916
3263,6.647905,-4.94994
1243,6.652381,-24.1498
162,6.653611,-51.7486
1077,6.660205,-51.0146
1308,6.660591,-51.5801
2840,6.669834,-16.9884
2686,6.671723,-11.0229
2243,6.67215,-24.5832
549,6.672684,-39.9711
3336,6.677188,-11.3283
3104,6.683088,-7.78548
658,6.683691,-18.9635
1856,6.69177,-17.0043
2074,6.700932,-26.1747
1981,6.706749,-18.5425
446,6.710746,-38.8123
165,6.718577,-62.5378
1480,6.72161,-23.8028
2930,6.723413,-10.2095
2061,6.725767,-13.0217
940,6.726139,-27.4326
2523,6.728893,-13.9003
107,6.732559,-58.5616
2005,6.737264,17.0096
3416,6.748509,-16.4689
1008,6.749465,-34.3019
3080,6.749977,15.1638
3008,6.763519,3.35637
3135,6.766046,-15.3542
1131,6.769103,-37.3544
3413,6.772719,4.11711
628,6.774117,-27.0143
2916,6.775263,-13.7194
562,6.783645,-43.3758
442,6.785285,-43.3146
2488,6.78601,-19.3803
1795,6.788173,-19.0578
1278,6.794295,-15.681
245,6.797747,-42.5789
2919,6.802511,-3.57256
1829,6.802993,-26.2363
2734,6.805525,-32.4886
1191,6.81724,-40.7191
160,6.818811,-48.0489
1087,6.829658,-4.66699
3108,6.847266,-6.76086
10,6.847664,-68.3342
318,6.853514,-29.2547
3084,6.857182,25.4584
182,6.861563,-53.2562
49,6.870443,-57.8041
194,6.870449,-48.5045
2416,6.876226,-9.80707
574,6.892463,-41.3655
1186,6.895575,-22.5839
3212,6.904332,-15.6265
47,6.90887,-51.7584
828,6.909493,-30.3853
1697,6.915718,-22.3322
3219,6.917244,-7.42743
648,6.918337,-40.4445
3368,6.920425,8.38455
157,6.932401,-43.3786
183,6.932487,-42.6648
2750,6.934013,-14.7205
1765,6.937087,-27.4312
2111,6.939371,-13.3427
697,6.940376,-3.39522
70,6.941373,-29.4729
2218,6.946799,-21.8106
2884,6.950445,-5.36568
695,6.951172,-45.75
1391,6.96967,-37.9285
279,6.974239,-36.3916
186,6.979738,-46.0481
1282,6.984479,-53.2393
169,6.990203,-68.6881
3412,6.996387,0.870074
3351,7.002174,20.6119
1238,7.003532,-27.0326
287,7.005887,-61.5138
2932,7.030288,-8.17973
452,7.046854,-26.3961
2405,7.049344,-29.5815
1851,7.058123,-50.7474
1428,7.069657,-33.8842
961,7.076496,-28.2821
2562,7.077003,-19.5954
63,7.085427,-70.3404
2536,7.087659,-10.2194
637,7.105626,-26.3979
1260,7.111959,-39.0314
406,7.113742,-35.0338
2292,7.115329,-22.5274
120,7.116941,-41.6226
2508,7.119821,-34.1832
2030,7.120114,-20.5192
105,7.129168,-55.7919
3121,7.131646,-20.3793
2332,7.134504,-21.5076
3340,7.13483,1.95826
329,7.142961,-49.8097
155,7.148001,-44.4831
895,7.148835,-27.9283
353,7.150074,-48.7946
2170,7.150111,-23.9443
2202,7.153708,-21.1322
1848,7.156018,-13.5263
210,7.171876,-55.2866
411,7.17902,-49.1175
137,7.179063,-50.4435
2748,7.185432,-6.87213
1274,7.18742,-38.5906
27,7.19505,-63.9823
1178,7.199548,-33.1794
591,7.203377,-24.672
1706,7.205829,-23.6415
1836,7.212527,-22.8941
346,7.216116,-33.4575
939,7.22068,-32.3307
550,7.228441,-46.8649
3068,7.234073,8.86457
708,7.236258,-22.4778
1846,7.237806,-23.677
2774,7.240229,-8.88815
1323,7.251857,-23.5067
2847,7.252289,-20.9531
43,7.255361,-65.7363
667,7.259533,-40.2174
149,7.261813,-46.1427
146,7.265017,-53.4531
820,7.266384,-33.5087
1214,7.267478,-30.2077
1530,7.268638,-20.0314
3161,7.281109,-23.4199
1790,7.282609,-13.9796
2604,7.285771,-10.363
616,7.286146,-49.9501
2657,7.291348,-24.301
282,7.298801,-55.4316
1952,7.303156,-43.963
2230,7.311495,-9.66934
98,7.330184,-37.3181
3100,7.332325,-22.425
2065,7.33299,-40.4815
839,7.333092,-46.7932
366,7.337553,-32.4752
1361,7.346334,-53.6226
617,7.346407,-32.3251
664,7.346837,-23.3775
943,7.347027,-27.5413
72,7.351698,-38.98
433,7.357528,-38.1721
1844,7.362182,-36.5809
539,7.366094,-38.6864
2966,7.366655,-29.3225
3318,7.370474,-4.38672
472,7.373541,-43.6033
2860,7.383031,-22.7372
780,7.386352,-24.7014
322,7.397615,-45.3498
126,7.400805,-21.4443
2393,7.402339,-13.9787
729,7.406682,-48.2549
2923,7.408269,-20.1027
330,7.408503,-29.8815
1594,7.409382,-31.86
2456,7.410529,-15.0546
705,7.411636,-39.8845
417,7.417474,-44.859
2404,7.420312,-35.4649
1940,7.425391,-21.8344
2471,7.427907,-10.163
65,7.42838,-53.2235
171,7.446724,-50.9938
68,7.446906,-37.3102
3352,7.447152,-4.91243
875,7.449479,-25.5385
127,7.455126,-61.0802
3403,7.456466,-3.32112
982,7.458732,-42.8251
1486,7.459231,-13.9069
401,7.460527,-36.1348
1219,7.464033,-39.5101
3018,7.46512,0.00649139
1880,7.466424,-31.7092
2597,7.469994,-27.3376
1158,7.472463,-46.167
3283,7.475145,13.1911
3113,7.491696,-27.8437
1744,7.492229,-13.4893
246,7.495355,-34.3077
71,7.495617,-65.2612
2960,7.497826,-20.284
2900,7.498243,-23.9536
1717,7.504648,-30.4996
1548,7.506292,-22.2431
2670,7.506562,-5.90917
494,7.507309,-51.3898
1084,7.507734,-27.3564
1175,7.5137,-48.8737
3315,7.517236,-13.9544
1013,7.520727,-39.1907
3309,7.523222,-13.6551
2911,7.524136,-17.2225
851,7.530539,-31.8119
665,7.531512,-21.3104
1995,7.539346,-25.7094
3131,7.54249,-3.26814
3407,7.544935,10.8041
1971,7.546061,-19.8991
2135,7.550586,-11.5783
398,7.553423,-51.174
827,7.555767,-29.7303
1055,7.56032,-27.6863
228,7.560898,-48.424
2183,7.561379,-16.7412
95,7.561825,-46.1467
1306,7.573131,-27.0832
1477,7.575951,-43.3948
2468,7.583025,-30.3296
28,7.596957,-44.5261
2746,7.597355,-5.23334
2131,7.612703,-19.4138
495,7.615643,-38.3234
314,7.618931,-21.5283
128,7.620946,-44.6257
66,7.621663,-64.187
575,7.625497,-27.6452
2353,7.62649,-26.5545
1230,7.631838,-32.0135
3396,7.647301,-5.13278
1075,7.649034,-40.725
266,7.650779,-43.0105
489,7.656813,-21.4941
1371,7.66358,0.575479
116,7.668758,-64.9951
956,7.671435,-42.4919
629,7.673631,-33.984
639,7.67572,-37.3339
1665,7.679677,-49.7763
26,7.680121,-69.6164
2411,7.682394,-40.047
3461,7.685486,30.8685
8,7.68882,-62.7897
2118,7.698184,-15.2064
2855,7.702403,-6.57736
135,7.704928,-59.9877
31,7.711249,-56.9893
1628,7.712847,-15.2009
1879,7.712886,-27.1916
394,7.714373,-33.1381
546,7.714893,-45.7177
1666,7.715243,-31.6814
464,7.715703,-48.9175
610,7.718445,-26.4881
2957,7.719055,-21.7332
2113,7.724787,-34.7327
2238,7.727005,-11.7142
3327,7.733098,-2.07469
3024,7.739089,-24.9853
184,7.742549,-36.9469
905,7.753894,-34.1147
395,7.75492,-31.4614
1964,7.756438,0.419486
284,7.759663,-29.4927
891,7.762262,-18.1984
305,7.766451,-53.8681
465,7.769572,-34.051
821,7.770606,-33.8729
1,7.772476,-65.2021
53,7.77575,-56.2848
167,7.77896,-44.7692
1614,7.779291,-26.1513
2729,7.78852,-8.87723
263,7.795857,-39.1131
2409,7.796343,-31.7701
447,7.797707,-39.1354
1297,7.802534,-23.6571
742,7.80458,-22.8445
192,7.804766,-48.8719
2039,7.809052,-14.5188
2447,7.819823,-24.4976
918,7.820713,-6.2278
2599,7.820823,-15.3365
233,7.823393,-43.4152
2637,7.826117,-38.0968
1757,7.826118,-25.3589
217,7.828919,-60.1615
23,7.830963,-49.9123
602,7.837039,-54.2854
407,7.83884,-35.5052
1700,7.845507,-21.6721
1771,7.848257,-22.4627
1128,7.849216,-28.0906
1491,7.849314,-16.5909
2335,7.85361,-25.8718
278,7.85806,-34.313
342,7.860307,-42.3012
89,7.866191,-60.0048
2352,7.872591,-6.64712
320,7.877753,-30.5908
3143,7.895008,-10.847
717,7.903,-43.4642
713,7.90378,-27.1699
2982,7.905348,5.08144
276,7.9068,-35.7386
104,7.916386,-31.9562
822,7.918194,-24.9036
2082,7.922608,-19.1955
1894,7.923344,-39.2295
1917,7.924958,-50.262
3291,7.926773,-29.0517
3094,7.931626,-22.4866
1809,7.934082,-10.2177
1205,7.936261,-38.8543
2472,7.948651,-29.646
1455,7.957535,-37.2405
2084,7.961174,-22.7514
690,7.962251,-31.9298
2171,7.968845,-32.9742
188,7.974143,-42.4912
483,7.975432,-22.5632
1734,7.979941,-2.40879
273,7.980571,-53.2099
3146,7.985128,-15.3094
1864,7.985808,-29.0707
331,8.000428,-28.8809
969,8.001323,-14.0143
132,8.001408,-43.9465
207,8.00224,-47.7456
764,8.008512,-32.8061
1565,8.009523,-7.7605
1390,8.01631,-35.2051
209,8.019458,-43.2568
2854,8.019696,-19.81
526,8.029448,-48.2493
3150,8.031487,17.0565
529,8.034069,-55.5655
3204,8.038403,-10.1045
1938,8.038483,-44.0624
704,8.041516,-49.7262
2302,8.044878,-29.9595
2354,8.045577,-12.7402
3127,8.050315,-4.08893
112,8.059452,-57.463
1015,8.064479,-26.3782
1292,8.066774,-38.8402
2731,8.072325,-8.0362
3363,8.079268,-5.29402
61,8.079415,-49.7344
864,8.079591,-27.496
2366,8.081493,-18.8261
525,8.085899,-40.1129
257,8.086579,-48.1039
150,8.091841,-49.8339
438,8.095452,-39.1547
3031,8.105915,-9.0685
824,8.12451,-35.869
3060,8.131086,6.88902
187,8.137655,-43.2764
1742,8.140891,-23.1064
513,8.143642,-34.2816
2650,8.144025,-12.9453
2998,8.151608,-8.17693
649,8.167593,-38.217
2598,8.173031,-9.02491
1331,8.177212,-19.4069
2639,8.177783,-23.6073
812,8.17959,-37.8803
333,8.182053,-54.3713
368,8.195334,-52.4896
673,8.204951,-45.1067
1853,8.222605,-41.8945
327,8.22401,-38.4648
19,8.22481,-69.3471
2967,8.225724,-10.8378
3456,8.230588,-2.50293
3158,8.230783,-1.16994
2296,8.246836,-20.4841
3354,8.252595,-10.7709
1650,8.254135,-17.5917
272,8.258096,-48.5376
1679,8.260646,-38.1292
2466,8.262939,-10.6244
1710,8.26801,-16.4238
2158,8.273523,-18.9463
3392,8.277808,-0.67649
1363,8.28289,-28.1971
220,8.283892,-48.6742
808,8.289802,-31.8526
365,8.292221,-31.8476
2516,8.292548,-20.3322
2025,8.293044,-13.2587
1053,8.293286,-15.6084
1047,8.297918,-27.8226
733,8.299171,-34.3943
2330,8.300882,-18.7682
252,8.301579,-47.862
374,8.30212,-33.2067
2045,8.306878,-23.9793
2529,8.309937,-29.2755
1714,8.310568,-8.82992
92,8.311161,-63.8918
288,8.312002,-26.112
825,8.314932,-33.8545
2363,8.322608,0.0381762
1944,8.324101,-34.6197
2822,8.328244,12.7518
563,8.32987,-30.3969
2775,8.329947,-10.7916
1499,8.338219,-30.1948
363,8.33935,-36.6955
1325,8.358542,-30.0425
1384,8.365399,-17.9473
87,8.367023,-50.5178
1107,8.367401,-27.8839
1457,8.37109,-9.65338
946,8.374721,-13.9017
1343,8.376904,-20.4885
1233,8.37793,-48.3036
419,8.38441,-38.4591
3446,8.385426,5.64143
2692,8.385528,-10.7674
544,8.386097,-32.3498
1509,8.38858,-23.6415
876,8.388915,-26.8908
2369,8.389914,-13.5274
1955,8.392143,-39.4246
3070,8.394883,-4.76389
892,8.403127,-15.5755
180,8.406584,-48.7161
511,8.411327,-50.2129
691,8.41152,-36.0448
1569,8.416883,-13.7274
400,8.426188,-36.865
109,8.426394,-48.3549
3207,8.429327,-0.030212
6,8.429985,-53.6382
3379,8.430573,14.0013
1859,8.43061,-22.1488
3137,8.434315,-8.98234
3175,8.437837,-5.32947
2002,8.438103,-18.3447
2513,8.469772,-24.1599
12,8.479503,-43.2283
2255,8.48348,-28.2979
1004,8.486719,-38.1477
1193,8.488063,-38.3866
588,8.489379,-44.8011
2476,8.496742,-21.2601
11,8.498798,-46.0823
338,8.499574,-47.1232
416,8.508085,-33.7175
603,8.5123,-42.1344
2109,8.512496,-9.34897
3302,8.513718,-23.5431
3411,8.52996,1.6953
384,8.530181,-42.9385
119,8.541729,-52.67
653,8.546206,-37.9712
434,8.549776,-37.1332
1252,8.553556,-37.8675
357,8.556401,-49.1478
114,8.557135,-45.7265
3133,8.564394,-19.4716
1080,8.565714,-11.1519
2590,8.569242,-15.9624
168,8.582015,-42.0575
1066,8.583512,-34.3955
994,8.589207,-35.908
344,8.591689,-27.5775
3346,8.612293,-11.4157
2253,8.615602,-37.0915
410,8.618232,-29.3477
